Index  Binary       Word      Braille6  Braille8  ShortBraille8  Braille8NumbersRaised                            
------------------------------------------------------------------------------------------------------------------
0      00000000000  abandon   ⠁⠃⠁⠝⠙⠕⠝   ⡁⠃⡁⠝⡙⢕⠝   ⡁ ⠃ ⡁ ⠝        17 12 17 1345 1457 1358 1345                     
1      00000000001  ability   ⠁⠃⠊⠇⠊⠞⠽   ⡁⠃⣊⡇⣊⠞⢽   ⡁ ⠃ ⣊ ⡇        17 12 2478 1237 2478 2345 134568                 
2      00000000010  able      ⠁⠃⠇⠑      ⡁⠃⡇⣑      ⡁ ⠃ ⡇ ⣑        17 12 1237 1578                                  
3      00000000011  about     ⠁⠃⠕⠥⠞     ⡁⠃⢕⢥⠞     ⡁ ⠃ ⢕ ⢥        17 12 1358 1368 2345                             
4      00000000100  above     ⠁⠃⠕⠧⠑     ⡁⠃⢕⣧⣑     ⡁ ⠃ ⢕ ⣧        17 12 1358 123678 1578                           
5      00000000101  absent    ⠁⠃⠎⠑⠝⠞    ⡁⠃⢎⣑⠝⠞    ⡁ ⠃ ⢎ ⣑        17 12 2348 1578 1345 2345                        
6      00000000110  absorb    ⠁⠃⠎⠕⠗⠃    ⡁⠃⢎⢕⣗⠃    ⡁ ⠃ ⢎ ⢕        17 12 2348 1358 123578 12                        
7      00000000111  abstract  ⠁⠃⠎⠞⠗⠁⠉⠞  ⡁⠃⢎⠞⣗⡁⣉⠞  ⡁ ⠃ ⢎ ⠞        17 12 2348 2345 123578 17 1478 2345              
8      00000001000  absurd    ⠁⠃⠎⠥⠗⠙    ⡁⠃⢎⢥⣗⡙    ⡁ ⠃ ⢎ ⢥        17 12 2348 1368 123578 1457                      
9      00000001001  abuse     ⠁⠃⠥⠎⠑     ⡁⠃⢥⢎⣑     ⡁ ⠃ ⢥ ⢎        17 12 1368 2348 1578                             
10     00000001010  access    ⠁⠉⠉⠑⠎⠎    ⡁⣉⣉⣑⢎⢎    ⡁ ⣉ ⣉ ⣑        17 1478 1478 1578 2348 2348                      
11     00000001011  accident  ⠁⠉⠉⠊⠙⠑⠝⠞  ⡁⣉⣉⣊⡙⣑⠝⠞  ⡁ ⣉ ⣉ ⣊        17 1478 1478 2478 1457 1578 1345 2345            
12     00000001100  account   ⠁⠉⠉⠕⠥⠝⠞   ⡁⣉⣉⢕⢥⠝⠞   ⡁ ⣉ ⣉ ⢕        17 1478 1478 1358 1368 1345 2345                 
13     00000001101  accuse    ⠁⠉⠉⠥⠎⠑    ⡁⣉⣉⢥⢎⣑    ⡁ ⣉ ⣉ ⢥        17 1478 1478 1368 2348 1578                      
14     00000001110  achieve   ⠁⠉⠓⠊⠑⠧⠑   ⡁⣉⢓⣊⣑⣧⣑   ⡁ ⣉ ⢓ ⣊        17 1478 1258 2478 1578 123678 1578               
15     00000001111  acid      ⠁⠉⠊⠙      ⡁⣉⣊⡙      ⡁ ⣉ ⣊ ⡙        17 1478 2478 1457                                
16     00000010000  acoustic  ⠁⠉⠕⠥⠎⠞⠊⠉  ⡁⣉⢕⢥⢎⠞⣊⣉  ⡁ ⣉ ⢕ ⢥        17 1478 1358 1368 2348 2345 2478 1478            
17     00000010001  acquire   ⠁⠉⠟⠥⠊⠗⠑   ⡁⣉⡟⢥⣊⣗⣑   ⡁ ⣉ ⡟ ⢥        17 1478 123457 1368 2478 123578 1578             
18     00000010010  across    ⠁⠉⠗⠕⠎⠎    ⡁⣉⣗⢕⢎⢎    ⡁ ⣉ ⣗ ⢕        17 1478 123578 1358 2348 2348                    
19     00000010011  act       ⠁⠉⠞       ⡁⣉⠞       ⡁ ⣉ ⠞          17 1478 2345                                     
20     00000010100  action    ⠁⠉⠞⠊⠕⠝    ⡁⣉⠞⣊⢕⠝    ⡁ ⣉ ⠞ ⣊        17 1478 2345 2478 1358 1345                      
21     00000010101  actor     ⠁⠉⠞⠕⠗     ⡁⣉⠞⢕⣗     ⡁ ⣉ ⠞ ⢕        17 1478 2345 1358 123578                         
22     00000010110  actress   ⠁⠉⠞⠗⠑⠎⠎   ⡁⣉⠞⣗⣑⢎⢎   ⡁ ⣉ ⠞ ⣗        17 1478 2345 123578 1578 2348 2348               
23     00000010111  actual    ⠁⠉⠞⠥⠁⠇    ⡁⣉⠞⢥⡁⡇    ⡁ ⣉ ⠞ ⢥        17 1478 2345 1368 17 1237                        
24     00000011000  adapt     ⠁⠙⠁⠏⠞     ⡁⡙⡁⣏⠞     ⡁ ⡙ ⡁ ⣏        17 1457 17 123478 2345                           
25     00000011001  add       ⠁⠙⠙       ⡁⡙⡙       ⡁ ⡙ ⡙          17 1457 1457                                     
26     00000011010  addict    ⠁⠙⠙⠊⠉⠞    ⡁⡙⡙⣊⣉⠞    ⡁ ⡙ ⡙ ⣊        17 1457 1457 2478 1478 2345                      
27     00000011011  address   ⠁⠙⠙⠗⠑⠎⠎   ⡁⡙⡙⣗⣑⢎⢎   ⡁ ⡙ ⡙ ⣗        17 1457 1457 123578 1578 2348 2348               
28     00000011100  adjust    ⠁⠙⠚⠥⠎⠞    ⡁⡙⡚⢥⢎⠞    ⡁ ⡙ ⡚ ⢥        17 1457 2457 1368 2348 2345                      
29     00000011101  admit     ⠁⠙⠍⠊⠞     ⡁⡙⢍⣊⠞     ⡁ ⡙ ⢍ ⣊        17 1457 1348 2478 2345                           
30     00000011110  adult     ⠁⠙⠥⠇⠞     ⡁⡙⢥⡇⠞     ⡁ ⡙ ⢥ ⡇        17 1457 1368 1237 2345                           
31     00000011111  advance   ⠁⠙⠧⠁⠝⠉⠑   ⡁⡙⣧⡁⠝⣉⣑   ⡁ ⡙ ⣧ ⡁        17 1457 123678 17 1345 1478 1578                 
32     00000100000  advice    ⠁⠙⠧⠊⠉⠑    ⡁⡙⣧⣊⣉⣑    ⡁ ⡙ ⣧ ⣊        17 1457 123678 2478 1478 1578                    
33     00000100001  aerobic   ⠁⠑⠗⠕⠃⠊⠉   ⡁⣑⣗⢕⠃⣊⣉   ⡁ ⣑ ⣗ ⢕        17 1578 123578 1358 12 2478 1478                 
34     00000100010  affair    ⠁⠋⠋⠁⠊⠗    ⡁⢋⢋⡁⣊⣗    ⡁ ⢋ ⢋ ⡁        17 1248 1248 17 2478 123578                      
35     00000100011  afford    ⠁⠋⠋⠕⠗⠙    ⡁⢋⢋⢕⣗⡙    ⡁ ⢋ ⢋ ⢕        17 1248 1248 1358 123578 1457                    
36     00000100100  afraid    ⠁⠋⠗⠁⠊⠙    ⡁⢋⣗⡁⣊⡙    ⡁ ⢋ ⣗ ⡁        17 1248 123578 17 2478 1457                      
37     00000100101  again     ⠁⠛⠁⠊⠝     ⡁⠛⡁⣊⠝     ⡁ ⠛ ⡁ ⣊        17 1245 17 2478 1345                             
38     00000100110  age       ⠁⠛⠑       ⡁⠛⣑       ⡁ ⠛ ⣑          17 1245 1578                                     
39     00000100111  agent     ⠁⠛⠑⠝⠞     ⡁⠛⣑⠝⠞     ⡁ ⠛ ⣑ ⠝        17 1245 1578 1345 2345                           
40     00000101000  agree     ⠁⠛⠗⠑⠑     ⡁⠛⣗⣑⣑     ⡁ ⠛ ⣗ ⣑        17 1245 123578 1578 1578                         
41     00000101001  ahead     ⠁⠓⠑⠁⠙     ⡁⢓⣑⡁⡙     ⡁ ⢓ ⣑ ⡁        17 1258 1578 17 1457                             
42     00000101010  aim       ⠁⠊⠍       ⡁⣊⢍       ⡁ ⣊ ⢍          17 2478 1348                                     
43     00000101011  air       ⠁⠊⠗       ⡁⣊⣗       ⡁ ⣊ ⣗          17 2478 123578                                   
44     00000101100  airport   ⠁⠊⠗⠏⠕⠗⠞   ⡁⣊⣗⣏⢕⣗⠞   ⡁ ⣊ ⣗ ⣏        17 2478 123578 123478 1358 123578 2345           
45     00000101101  aisle     ⠁⠊⠎⠇⠑     ⡁⣊⢎⡇⣑     ⡁ ⣊ ⢎ ⡇        17 2478 2348 1237 1578                           
46     00000101110  alarm     ⠁⠇⠁⠗⠍     ⡁⡇⡁⣗⢍     ⡁ ⡇ ⡁ ⣗        17 1237 17 123578 1348                           
47     00000101111  album     ⠁⠇⠃⠥⠍     ⡁⡇⠃⢥⢍     ⡁ ⡇ ⠃ ⢥        17 1237 12 1368 1348                             
48     00000110000  alcohol   ⠁⠇⠉⠕⠓⠕⠇   ⡁⡇⣉⢕⢓⢕⡇   ⡁ ⡇ ⣉ ⢕        17 1237 1478 1358 1258 1358 1237                 
49     00000110001  alert     ⠁⠇⠑⠗⠞     ⡁⡇⣑⣗⠞     ⡁ ⡇ ⣑ ⣗        17 1237 1578 123578 2345                         
50     00000110010  alien     ⠁⠇⠊⠑⠝     ⡁⡇⣊⣑⠝     ⡁ ⡇ ⣊ ⣑        17 1237 2478 1578 1345                           
51     00000110011  all       ⠁⠇⠇       ⡁⡇⡇       ⡁ ⡇ ⡇          17 1237 1237                                     
